old_url,match_type,matched_fern_file,matched_slug,new_slug,confidence,match_method,notes
/compatibility-api/cxml/voice/play,slug_changed,compatibility-api/pages/cxml/voice/play.mdx,cxml/voice/play,/reference/cxml/voice/play,0.804,body=0.755 fname=1.000,
/compatibility-api/cxml/voice/queue-noun,slug_changed,compatibility-api/pages/cxml/voice/queue-noun.mdx,cxml/voice/queue,/reference/cxml/voice/queue,0.770,body=0.712 fname=1.000,
/compatibility-api/cxml/voice/record,uncertain,compatibility-api/pages/cxml/voice/record.mdx,cxml/voice/record,/reference/cxml/voice/record,0.625,body=0.531 fname=1.000,
/compatibility-api/cxml/voice/redirect,slug_changed,compatibility-api/pages/cxml/voice/redirect.mdx,cxml/voice/redirect,/reference/cxml/voice/redirect,0.913,body=0.891 fname=1.000,
/compatibility-api/cxml/voice/refer,slug_changed,compatibility-api/pages/cxml/voice/refer.mdx,cxml/voice/refer,/reference/cxml/voice/refer,0.745,body=0.682 fname=1.000,
/compatibility-api/cxml/voice/reject,slug_changed,compatibility-api/pages/cxml/voice/reject.mdx,cxml/voice/reject,/reference/cxml/voice/reject,0.829,body=0.786 fname=1.000,
/compatibility-api/cxml/voice/room-noun,slug_changed,compatibility-api/pages/cxml/voice/room-noun.mdx,cxml/voice/room,/reference/cxml/voice/room,0.886,body=0.858 fname=1.000,
/compatibility-api/cxml/voice/say,slug_changed,compatibility-api/pages/cxml/voice/say.mdx,cxml/voice/say,/reference/cxml/voice/say,0.729,body=0.662 fname=1.000,
/compatibility-api/cxml/voice/sip-noun,uncertain,compatibility-api/pages/cxml/voice/sip-noun.mdx,cxml/voice/sip,/reference/cxml/voice/sip,0.671,body=0.588 fname=1.000,
/compatibility-api/cxml/voice/sms,uncertain,compatibility-api/pages/cxml/voice/sms.mdx,cxml/voice/sms,/reference/cxml/voice/sms,0.587,body=0.484 fname=1.000,
/compatibility-api/cxml/voice/stream,slug_changed,compatibility-api/pages/cxml/voice/stream.mdx,cxml/voice/stream,/reference/cxml/voice/stream,0.859,body=0.824 fname=1.000,
/compatibility-api/cxml/voice/verto-noun,slug_changed,compatibility-api/pages/cxml/voice/verto-noun.mdx,cxml/voice/verto,/reference/cxml/voice/verto,0.992,body=0.990 fname=1.000,
/compatibility-api/cxml/voice/virtualagent-noun,slug_changed,compatibility-api/pages/cxml/voice/virtualagent-noun.mdx,cxml/voice/virtualagent,/reference/cxml/voice/virtualagent,0.802,body=0.752 fname=1.000,
/compatibility-api/guides,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/general,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/general/calltext-by-proxy,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/general/creating-and-using-cxml-scripts,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/general/phone-numbers,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/general/phone-numbers/how-to-purchase-numbers-in-bulk,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/general/phone-numbers/how-to-update-webhooks-in-bulk,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/general/phone-numbers/list-numbers-to-csv,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/general/phone-numbers/release-numbers,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/general/phone-numbers/release-project-numbers-based-off-csv,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/general/phone-numbers/remove-all-landlines-from-your-recipient-list,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/general/utilizing-mustache-templates,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/messaging,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/messaging/general,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/messaging/general/handling-incoming-messages-from-code,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/messaging/general/how-to-list-messages-filtered-by-multiple-from-numbers,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/messaging/general/how-to-list-messages-with-a-specific-error-code-to-csv,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/messaging/general/how-to-pull-undelivered-messages,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/messaging/general/how-to-redact-messages-for-hippa-compliancy,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/messaging/general/how-to-send-sms-from-google-sheets,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/messaging/general/how-to-use-list-messages-api-to-get-pricing-for-a-date-range,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/messaging/general/list-messages-to-csv-all-languages,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/messaging/general/sms-status-callbacks,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/messaging/python,known_deleted,,,,,,Section not migrated to Fern
/compatibility-api/guides/messaging/python/how-to-get-reply-statistics-with-python,known_deleted,,,,,,Section not migrated to Fern
